"3:00 PM · Oct 23, 2023",@SandalwoodXBT,$BTC #BTC ON 30900 GLP RESISTANCE FOR NOW PLAY SAFE IF U R LONG OR BOOK PROFITS #Bitcoin  #Crypto #cryptocurrency,2,happy
"7:54 AM · Oct 26, 2023",@crypto_chin,"$HAY bullflag breakout👀

Lets fill that wick🚀⏳",2,anticipation
"7:55 AM · Oct 26, 2023",@crypto_is_good,"Did you guys see how 
@sonic_ooo
 is doing a pitch with a deck and reaching out to community?

That is because they respect you, you have a say in the matter.
",2,happy
"7:55 AM · Oct 26, 2023",@Storpeth,"GN Fam 🌙, going early to bed 😴 been up since 3 or 4 AM ⏰ this morning non-stop, many great things happening both in Crypto 🪙/IRL 🌎, have a great night 🌌 and may all your projects/wishes 🌠 come true and mature 🌱!! Sending good vibes 🌊!!",2,happy
"7:56 AM · Oct 26, 2023",@CryptoBullGod,"You think this week has been fun?!?
😂😂😂😂

Wait for November-December and 1H24😤😤😤😤😤😤😤😤😤

#Bitcoin #btc $btc #crypto",2,anticipation
"7:57 AM · Oct 26, 2023",@stephcrypt1,"GM Gm Guys 🌝

Just answered the Overprotocol quiz and got 100%! Check out the answers below to ace the quiz and earn some crypto!

#OverProtocol #Cryptocurrency #Web3 #QuizAnswer #EarnCrypto
#CryptoTwitter",2,happy
"7:58 AM · Oct 26, 2023",@StaceyMonette27,"The Libs have employed people lining up at food banks, defaulting on mortgages, unable to buy/rent homes & their children’s children will still be paying for the Liberal debt.

Pierre discussed crypto, bought a shawarma with bitcoin & this is Mark’s “gotcha”. 🤪
#cdnpoli",1,angry
"7:54 AM · Oct 26, 2023",@cryptonews_aus,"This November, Melbourne will host Australia’s most significant crypto event, 
@AusCryptoCon
🚀

The event is promising to be 4 times larger than its predecessors, featuring some of the leading industry figures, regulators, & enthusiasts for an enlightening weekend 🙌

Get 30% off tickets using the code: CryptoNewsAus

Find out more 👉https://bit.ly/3Sf6wVp",2,anticipation
"2:22 PM · Oct 24, 2023",@cryptonews_aus,"#Bitcoin surged 10% overnight due to rising institutional interest & a soon-to-be-approved Spot ETF. 📈

#BlackRock have officially listed their ETF on Nasdaq, but it's not yet tradable or SEC-approved. 

Read the full story 👉 https://bit.ly/3tRVn2",2,happy
"7:51 AM · Oct 26, 2023",@SLFMR1,"Cardano Market dominace was ~5% when Crypto marketcap ath was  2,5 tr. USD.

At a total crypto MC of 15tr.

Cardano would be at ~25$

10% dominance would be 42$

MC and Price are not value or total inflow. These are just made up numbers the market agrees on.

#Cardano to 42 😁",2,anticipation
"7:56 AM · Oct 26, 2023",@silverskull999,"$wormie

@ShuggiToken
 dev 
@cali_julz
 is the most honest legit dude in crypto 🔥🔥 

his project is exploding

He wrote this a while back. 
@ShuggiToken
 utility coming 

http://t.me/shuggitoken

http://julzcali.medium.com/why-i-have-a-s…",2,anticipation
"7:57 AM · Oct 26, 2023",@chatgptfr_,I asked the AI to predict the amount of #Bitcoin in 10 years and here's its response! A fascinating analysis that could change the game for investors. #AI #cryptocurrency #Bitcoin #BitcoinETF 🤖💰📈,2,anticipation
"5:34 PM · Oct 25, 2023",@georgianabirdan,"Living the crypto reality, one 
@xPortalApp
 card swipe at a time in not-so-sunny-anymore Spain! 💳

@MultiversX
 bringing the magic to life! 🇪🇸 ✨",2,happy
"6:00 AM · Oct 26, 2023",@kucoincom,What #crypto are you most bullish on apart from #Bitcoin rn? 🐂,1,anticipation
